grid_id,latitude,longitude,building_count,yellow_building_count,building_density,yellow_building_density,total_building_density,main_road_density,local_road_density,total_road_density,waterbody,water_percent,empty,usable_area_percent,kirana_potential_index,yellow_building_proportion,local_road_proportion,avg_yellow_building_size,water_percent_log,kirana_potential_index_log,dist_to_nearest_hub,green_cover_ratio,edge_density,structural_complexity,market_activity_index,street_exposure_index,grid_segment,grid_score
9475,28.4678036,77.2312185,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.467320493357421,0.98989375,0.0045125,2.25,0.0,0.0,bad,1.0
9838,28.4713968,76.9998975,56,5,35.09,1.84,36.93000000000001,0.0,14.06,14.06,0,0.0,49.00999999999999,50.99000000000001,0.12879314923712232,0.08196721311475409,1.0,0.368,0.0,0.12114905247100774,10.196396210830828,0.00195625,0.03179375,12.4375,1.019467213114754,12.4375,bad,17.81
10186,28.4731934,77.2250773,0,0,0.0,0.0,0.0,0.0,0.03,0.03,0,0.0,99.97,0.030000000000001137,0.0,0.0,0.0,0.0,0.0,0.0,4.045837814976725,0.98926875,0.00461875,2.3125,0.0,0.0,bad,1.0
10367,28.4749901,77.1083932,2,1,4.42,0.0,4.42,0.0,0.0,0.0,0,0.0,95.58,4.420000000000002,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,4.39505731207518,0.06020625,0.00545,3.375,1.125,0.0,bad,5.86
10423,28.4749901,77.2230302,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9360362065877514,0.98989375,0.0045125,2.25,0.0,0.0,bad,1.0
10987,28.4803799,76.9159669,4,10,1.65,0.0,1.65,8.19,10.99,19.18,1,0.5700000000000001,78.60000000000002,20.829999999999984,0.0,0.7142857142857143,0.572992700729927,0.0,0.45107561936021673,0.0,12.586114422058529,0.17900625,0.02956875,3.3125,2.366071428571429,1.8980383211678833,bad,8.78
11132,28.4803799,77.2127947,0,0,0.0,0.0,0.0,0.0,6.85,6.85,0,0.0,93.15,6.849999999999994,0.0,0.0,1.0,0.0,0.0,0.0,3.7543740093665665,0.9184625,0.0182125,2.5625,0.0,2.5625,bad,1.0
11156,28.4803799,77.2619249,1,0,0.07,0.0,0.07,0.17,9.09,9.26,0,0.0,90.67,9.329999999999998,0.0,0.0,0.9816414686825055,0.0,0.0,0.0,3.414350569314692,0.89128125,0.01620625,3.0625,0.0,3.006276997840173,bad,1.02
11404,28.4821766,77.2823957,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1,19.08,80.92,0.0,0.0,1.0,0.0,0.0,2.9997242948235283,0.0,2.952945904939025,0.6479,0.0143875,2.625,2.625,0.0,bad,9.04
11483,28.4839732,76.9569087,0,0,0.0,0.0,0.0,0.0,1.92,1.92,1,5.3100000000000005,92.77,1.9200000000000017,0.0,0.0,0.0,0.0,1.8421356765531218,0.0,9.920959020950567,0.9162625,0.00551875,2.25,0.0,0.0,bad,1.0
11658,28.4839732,77.3151492,29,9,20.42,0.74,21.16,1.08,9.53,10.61,1,35.61,32.61999999999999,31.77000000000001,0.11617328876260151,0.23684210526315788,0.8982092365692742,0.08222222222222222,3.600321427132145,0.1099061285739428,1.3405159295822366,0.0043125,0.03651875,10.3125,2.4424342105263155,9.262782752120641,bad,16.95
11875,28.4857698,77.2721603,0,0,0.0,0.0,0.0,1.59,6.56,8.15,0,0.0,91.85,8.150000000000006,0.0,0.0,0.8049079754601226,0.0,0.0,0.0,3.403979693568543,0.90516875,0.01286875,2.8125,0.0,2.263803680981595,bad,1.0
12087,28.4875664,77.218936,0,0,0.0,0.0,0.0,0.0,1.61,1.61,0,0.0,98.39,1.6099999999999994,0.0,0.0,0.0,0.0,0.0,0.0,2.783027960572822,0.97359375,0.004525,2.25,0.0,0.0,bad,1.0
12179,28.4893631,76.9200611,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.58979703785618,0.98989375,0.0045125,2.25,0.0,0.0,bad,1.0
12180,28.4893631,76.9221082,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.449176590277455,0.98989375,0.0045125,2.25,0.0,0.0,bad,1.0
12356,28.4893631,77.2823957,3,7,4.55,4.46,9.01,3.49,7.2,10.69,0,0.0,80.30000000000001,19.69999999999999,1.4850166481687015,0.7,0.6735266604303087,0.6371428571428571,0.0,0.9102793589904169,2.668900719768824,0.0210625,0.01565625,3.875,2.7125,2.6099158091674464,bad,34.07
12666,28.4929563,76.9425791,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.833573491089693,0.98989375,0.0045125,2.25,0.0,0.0,bad,1.0
12872,28.4947529,76.8770722,0,0,0.0,0.0,0.0,0.0,0.2,0.2,0,0.0,99.8,0.20000000000000284,0.0,0.0,0.0,0.0,0.0,0.0,14.53856638375024,0.98776875,0.0049875,2.25,0.0,0.0,bad,1.0
13351,28.4983462,76.8832135,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.818112252436812,0.98989375,0.0045125,2.25,0.0,0.0,bad,1.0
13361,28.4983462,76.9036844,2,5,0.24,0.0,0.24,0.29,5.81,6.1,0,0.0,93.66,6.340000000000003,0.0,0.7142857142857143,0.9524590163934427,0.0,0.0,0.0,12.15514027719502,0.23810625,0.01381875,2.5625,1.8303571428571428,2.4406762295081967,bad,6.68
13366,28.4983462,76.9139198,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.364445752221318,0.98989375,0.0045125,2.25,0.0,0.0,bad,1.0
13388,28.4983462,76.9589558,0,0,0.0,0.0,0.0,0.0,2.18,2.18,0,0.0,97.82,2.180000000000007,0.0,0.0,1.0,0.0,0.0,0.0,8.43091282078174,0.96690625,0.0045125,2.25,0.0,2.25,bad,1.0
13704,28.5001428,77.1186287,0,2,0.0,0.0,0.0,0.0,3.07,3.07,0,0.0,96.93,3.069999999999993,0.0,0.0,1.0,0.0,0.0,0.0,1.8853502233834012,0.03628125,0.01078125,2.1875,0.0,2.1875,bad,1.0
13870,28.5019394,76.9712383,0,0,0.0,0.0,0.0,0.0,2.75,2.75,0,0.0,97.25,2.75,0.0,0.0,1.0,0.0,0.0,0.0,7.508271583903629,0.96121875,0.0045125,2.25,0.0,2.25,bad,1.0
13985,28.5019394,77.2066535,28,0,10.25,0.0,10.25,0.0,5.41,5.41,0,0.0,84.34,15.659999999999997,0.0,0.0,1.0,0.0,0.0,0.0,1.4545291152871465,0.0361375,0.01608125,6.8125,0.0,6.8125,bad,4.27
14327,28.5055327,76.9323436,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.479264706821967,0.98989375,0.0045125,2.25,0.0,0.0,bad,1.0
14519,28.5073293,76.8381775,0,0,0.07,0.0,0.07,13.03,0.0,13.03,0,0.0,86.9,13.099999999999994,0.0,0.0,0.0,0.0,0.0,0.0,17.34149660542832,0.846225,0.01464375,3.1875000000000004,0.0,0.0,bad,1.02
14788,28.5091259,76.9016373,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.657280695369009,0.98989375,0.0045125,2.25,0.0,0.0,bad,1.0
15021,28.5109225,76.8914018,5,0,1.98,0.0,1.98,0.49,8.23,8.72,1,0.92,88.38,10.700000000000003,0.0,0.0,0.9438073394495413,0.0,0.6523251860396903,0.0,12.431006297038971,0.87064375,0.02155625,2.875,0.0,2.713446100917431,bad,1.63
15292,28.5127191,76.9589558,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.116442006373087,0.98989375,0.0045125,2.25,0.0,0.0,bad,1.0
15437,28.5127191,77.2557836,0,1,0.0,0.0,0.0,0.0,0.35,0.35,0,0.0,99.65,0.3499999999999943,0.0,0.0,0.0,0.0,0.0,0.0,0.7209130192225132,0.9627625,0.0056875,6.625,0.0,0.0,bad,1.0
15522,28.5145158,76.9425791,0,0,0.0,0.0,0.0,0.07,1.35,1.42,0,0.0,98.58,1.4200000000000017,0.0,0.0,0.0,0.0,0.0,0.0,8.067397544922507,0.97461875,0.0069125,2.3125,0.0,0.0,bad,1.0
15532,28.5145158,76.9630499,2,0,0.54,0.0,0.54,0.91,6.7,7.61,0,0.0,91.85,8.150000000000006,0.0,0.0,0.8804204993429697,0.0,0.0,0.0,6.714864273749121,0.9008375,0.01556875,2.8125,0.0,2.4761826544021024,bad,1.17
15743,28.5163124,76.9077786,0,0,0.0,0.0,0.0,0.0,2.7,2.7,0,0.0,97.3,2.700000000000003,0.0,0.0,1.0,0.0,0.0,0.0,10.738219274104111,0.961675,0.0045125,2.25,0.0,2.25,bad,1.0
15958,28.518109,76.8606955,0,0,0.16,0.0,0.16,8.64,9.84,18.48,1,1.24,80.12,18.64,0.0,0.0,0.5324675324675324,0.0,0.8064758658669485,0.0,14.861843344367854,0.784525,0.03126875,2.875,0.0,1.5308441558441557,bad,1.05
